DOUBLE_FLEXION_MASC,DOUBLE_FLEXION_FEM,LECTURE_SILENCIEUSE,NUITDEBOUTISTE ,DEBINARISANTE,VERSION_LES_MOTS_CLÉS,Contraction_(néologismes),LECTURES_SILENCIEUSES_V1,Conversion automatique mas V1,Conversion automatique fem V1,Conversion automatique inclusive V1
opticien,opticienne,opticien·ne,opticien⋅ne,,,,opticien·nes,,,
orateur,oratrice,orateur·trice,orateur⋅trice,,,,orateur·trices,,,
orchestrateur,orchestratrice,orchestrateur·trice,orchestrateur⋅trice,,,,orchestrateur·trices,,,
orfèvre,orfèvre,orfèvre,orfèvre,,,,orfèvres,,,
orienteur,orienteuse,orienteur·euse,orienteur⋅se,,,,orienteur·euses,,,
ouvrier,ouvrière,ouvrier·ère,ouvrier⋅ère,,,,ouvrier·ères,,,
pâtissier,pâtissière,pâtissier·ère,patissier⋅ère,,,,pâtissier·ères,,,
patrouilleur,patrouilleuse,patrouilleur·euse,patrouilleur⋅se,,,,patrouilleur·euses,,,
paysagiste,paysagiste,paysagiste,paysagiste,paysagiste,,,paysagistes,,,
paysan,paysanne,paysan·ne,pays·an·anne,paysan·ne,,,paysan·nes,,,
pédologue,pédologue,pédologue,pédologue,pédologue,,,pédologues,,,
peintre,peintre,peintre,peintre,peintre,,,peintres,,,
peintre,peintresse,peintre·esse,peintr·e·esse,,,,peintre·esses,,,
percepteur,perceptrice,percepteur·trice,percepteur⋅trice,,,,percepteur·trices,,,
perruquier,perruquière,perruquier·ère,perruquier⋅ère,,,,perruquier·ères,,,
pharmacien,pharmacienne,pharmacien·ne,pharmacien⋅ne,,,,pharmacien·nes,,,
physicien,physicienne,physicien·ne,physicien⋅ne,,,,physicien·nes,,,
physiothérapeute,physiothérapeute,physiothérapeute,physiothérapeute,,,,physiothérapeutes,,,
pigiste,pigiste,pigiste,pigiste,,,,pigistes,,,
pilote,pilote,pilote,pilote,,,,pilotes,,,
pisciculteur,piscicultrice,pisciculteur·trice,pisciculteur⋅trice,,,,pisciculteur·trices,,,
plâtrier,plâtrière,plâtrier·ère,platrier⋅ère,,,,plâtrier·ères,,,
plombier,plombière,plombier·ère,plombie⋅ère,,,,plombier·ères,,,
plongeur,plongeuse,plongeur·euse,plongeur⋅se,,,,plongeur·euses,,,
poète,poète,poète,poète,,,,poètes,,,
